"ORDER_ID","CUSTOMER_ID","PRODUCT_ID","QUANTITY","STATUS","COURIER_PARTNER","ORDER_DATE","SHIPPED_DATE","DELIVERY_DATE","CNT"
362183,1038,"P_010",2,"Delivered","BlueDart",16-AUG-25 12.00.00.000000000 AM,18-AUG-25 12.00.00.000000000 AM,26-AUG-25 12.00.00.000000000 AM,2
346119,1008,"P_019",1,"Delivered","XpressBees",24-APR-25 12.00.00.000000000 AM,27-APR-25 12.00.00.000000000 AM,06-MAY-25 12.00.00.000000000 AM,2
363399,1040,"P_008",1,"Delivered","EcomExpress",12-AUG-25 12.00.00.000000000 AM,14-AUG-25 12.00.00.000000000 AM,22-AUG-25 12.00.00.000000000 AM,2
331015,1046,"P_007",5,"Delivered","Delhivery",31-DEC-24 12.00.00.000000000 AM,04-JAN-25 12.00.00.000000000 AM,12-JAN-25 12.00.00.000000000 AM,2
314695,1004,"P_003",2,"Delivered","DTDC",05-AUG-24 12.00.00.000000000 AM,06-AUG-24 12.00.00.000000000 AM,12-AUG-24 12.00.00.000000000 AM,2
347847,1005,"P_015",2,"Delivered","DTDC",25-APR-25 12.00.00.000000000 AM,28-APR-25 12.00.00.000000000 AM,03-MAY-25 12.00.00.000000000 AM,2
364551,1011,"P_019",1,"Delivered","BlueDart",10-SEP-25 12.00.00.000000000 AM,10-SEP-25 12.00.00.000000000 AM,13-SEP-25 12.00.00.000000000 AM,2
364807,1047,"P_007",2,"Delivered","Delhivery",12-SEP-25 12.00.00.000000000 AM,12-SEP-25 12.00.00.000000000 AM,14-SEP-25 12.00.00.000000000 AM,2
365575,1041,"P_005",1,"Cancelled","DTDC",27-SEP-25 12.00.00.000000000 AM,30-SEP-25 12.00.00.000000000 AM,,2
349511,1018,"P_003",5,"Delivered","BlueDart",30-MAY-25 12.00.00.000000000 AM,31-MAY-25 12.00.00.000000000 AM,03-JUN-25 12.00.00.000000000 AM,2
333383,1010,"P_008",4,"Returned","DTDC",02-DEC-24 12.00.00.000000000 AM,05-DEC-24 12.00.00.000000000 AM,11-DEC-24 12.00.00.000000000 AM,2
366151,1002,"P_015",4,"Delivered","EcomExpress",19-SEP-25 12.00.00.000000000 AM,23-SEP-25 12.00.00.000000000 AM,02-OCT-25 12.00.00.000000000 AM,2
350279,1043,"P_012",4,"Cancelled","DTDC",22-MAY-25 12.00.00.000000000 AM,23-MAY-25 12.00.00.000000000 AM,,2
302151,1021,"P_012",4,"Delivered","BlueDart",17-APR-24 12.00.00.000000000 AM,20-APR-24 12.00.00.000000000 AM,27-APR-24 12.00.00.000000000 AM,2
318599,1033,"P_009",5,"Delivered","BlueDart",14-SEP-24 12.00.00.000000000 AM,16-SEP-24 12.00.00.000000000 AM,24-SEP-24 12.00.00.000000000 AM,2
319175,1013,"P_014",5,"Delivered","EcomExpress",11-SEP-24 12.00.00.000000000 AM,11-SEP-24 12.00.00.000000000 AM,19-SEP-24 12.00.00.000000000 AM,2
353287,1024,"P_010",5,"Delivered","EcomExpress",18-MAY-25 12.00.00.000000000 AM,22-MAY-25 12.00.00.000000000 AM,29-MAY-25 12.00.00.000000000 AM,2
304775,1033,"P_015",3,"Delivered","DTDC",20-MAY-24 12.00.00.000000000 AM,21-MAY-24 12.00.00.000000000 AM,23-MAY-24 12.00.00.000000000 AM,2
370439,1021,"P_009",5,"Delivered","XpressBees",16-OCT-25 12.00.00.000000000 AM,20-OCT-25 12.00.00.000000000 AM,22-OCT-25 12.00.00.000000000 AM,2
337735,1023,"P_006",5,"Delivered","EcomExpress",21-FEB-25 12.00.00.000000000 AM,26-FEB-25 12.00.00.000000000 AM,02-MAR-25 12.00.00.000000000 AM,2
387655,1050,"P_002",5,"Delivered","XpressBees",11-MAR-26 12.00.00.000000000 AM,12-MAR-26 12.00.00.000000000 AM,19-MAR-26 12.00.00.000000000 AM,2
371719,1036,"P_009",1,"Delivered","XpressBees",12-OCT-25 12.00.00.000000000 AM,12-OCT-25 12.00.00.000000000 AM,22-OCT-25 12.00.00.000000000 AM,2
355463,1026,"P_012",2,"Delivered","EcomExpress",17-JUN-25 12.00.00.000000000 AM,21-JUN-25 12.00.00.000000000 AM,28-JUN-25 12.00.00.000000000 AM,2
323463,1001,"P_012",1,"Delivered","Delhivery",06-OCT-24 12.00.00.000000000 AM,07-OCT-24 12.00.00.000000000 AM,13-OCT-24 12.00.00.000000000 AM,2
372615,1038,"P_008",3,"Returned","EcomExpress",29-NOV-25 12.00.00.000000000 AM,01-DEC-25 12.00.00.000000000 AM,09-DEC-25 12.00.00.000000000 AM,2
340039,1014,"P_014",5,"Delivered","BlueDart",21-FEB-25 12.00.00.000000000 AM,23-FEB-25 12.00.00.000000000 AM,01-MAR-25 12.00.00.000000000 AM,2
307335,1026,"P_013",2,"Delivered","XpressBees",01-JUN-24 12.00.00.000000000 AM,03-JUN-24 12.00.00.000000000 AM,09-JUN-24 12.00.00.000000000 AM,2
340423,1047,"P_001",3,"Delivered","XpressBees",06-FEB-25 12.00.00.000000000 AM,07-FEB-25 12.00.00.000000000 AM,13-FEB-25 12.00.00.000000000 AM,2
324487,1019,"P_020",4,"Delivered","EcomExpress",23-OCT-24 12.00.00.000000000 AM,23-OCT-24 12.00.00.000000000 AM,24-OCT-24 12.00.00.000000000 AM,2
308551,1009,"P_010",5,"Delivered","Delhivery",15-JUN-24 12.00.00.000000000 AM,16-JUN-24 12.00.00.000000000 AM,21-JUN-24 12.00.00.000000000 AM,2
357831,1046,"P_008",2,"Cancelled","DTDC",18-JUL-25 12.00.00.000000000 AM,18-JUL-25 12.00.00.000000000 AM,,2
325319,1039,"P_009",2,"Delivered","BlueDart",28-OCT-24 12.00.00.000000000 AM,30-OCT-24 12.00.00.000000000 AM,08-NOV-24 12.00.00.000000000 AM,2
