"ORDER_ID","CUSTOMER_ID","PRODUCT_ID","ORDER_DATE","SHIPPED_DATE","DELIVERY_DATE","QUANTITY","STATUS","COURIER_PARTNER","EXP_REJECT_REASON"
366383,1031,"P_017","2025-09-22","2025-09-23","2025-09-28",1,"InTransit","Delhivery","Status Not"
336364,1049,"P_018","2025-01-24","2025-01-26","2025-01-29",1,"InTransit","BlueDart","Status Not"
342304,1040,"P_005","2025-03-25","2025-03-30","",5,"InTransit","XpressBees","Status Not"
378504,1030,"P_018","2025-12-10","2025-12-12","",3,"InTransit","Delhivery","Status Not"
300456,1035,"P_016","2024-04-29","2024-04-30","2024-05-10",5,"InTransit","EcomExpress","Status Not"
335533,1035,"P_003","2025-01-05","2025-01-07","2025-01-13",4,"InTransit","BlueDart","Status Not"
355578,1006,"P_017","2025-06-18","2025-06-23","2025-06-24",5,"InTransit","XpressBees","Status Not"
374230,1011,"P_019","2025-11-11","2025-11-16","2025-11-23",3,"InTransit","XpressBees","Status Not"
369333,1044,"P_020","2025-10-28","2025-10-28","2025-11-03",5,"InTransit","DTDC","Status Not"
301657,1003,"P_015","2024-04-21","2024-04-22","2024-04-29",3,"InTransit","EcomExpress","Status Not"
313103,1018,"P_012","2024-07-16","2024-07-20","2024-07-25",1,"InTransit","BlueDart","Status Not"
344544,1042,"P_014","2025-03-16","2025-03-21","2025-03-25",1,"InTransit","XpressBees","Status Not"
308428,1023,"P_013","2024-06-21","2024-06-22","2024-06-27",2,"InTransit","XpressBees","Status Not"
355087,1044,"P_009","2025-06-20","2025-06-23","2025-06-28",5,"InTransit","Delhivery","Status Not"
346024,1020,"P_006","2025-04-09","2025-04-13","",1,"InTransit","XpressBees","Status Not"
357039,1006,"P_013","2025-07-07","2025-07-12","2025-07-15",5,"InTransit","XpressBees","Status Not"
319534,1022,"P_020","2024-09-15","2024-09-16","2024-09-24",2,"InTransit","Delhivery","Status Not"
360434,1011,"P_013","2025-07-24","2025-07-24","2025-08-03",1,"InTransit","XpressBees","Status Not"
366302,1011,"P_001","2025-09-26","2025-09-28","2025-10-03",3,"InTransit","XpressBees","Status Not"
377467,1008,"P_001","2025-12-31","2026-01-03","2026-01-06",2,"InTransit","DTDC","Status Not"
348614,1010,"P_004","2025-04-16","2025-04-17","2025-04-24",4,"InTransit","BlueDart","Status Not"
375743,1022,"P_002","2025-12-07","2025-12-11","2025-12-19",2,"InTransit","BlueDart","Status Not"
334558,1011,"P_009","2025-01-22","2025-01-22","2025-01-24",3,"InTransit","Delhivery","Status Not"
313252,1020,"P_008","2024-07-25","2024-07-27","2024-08-04",3,"InTransit","EcomExpress","Status Not"
383232,1022,"P_012","2026-02-22","2026-02-24","2026-02-26",5,"InTransit","XpressBees","Status Not"
370882,1021,"P_001","2025-10-21","2025-10-26","2025-10-28",4,"InTransit","EcomExpress","Status Not"
350120,1049,"P_010","2025-05-24","2025-05-27","2025-05-29",3,"InTransit","DTDC","Status Not"
353401,1008,"P_017","2025-06-13","2025-06-18","2025-06-28",3,"InTransit","XpressBees","Status Not"
373740,1009,"P_009","2025-11-30","2025-12-01","2025-12-03",2,"InTransit","Delhivery","Status Not"
311234,1032,"P_004","2024-07-19","2024-07-20","2024-07-27",1,"InTransit","XpressBees","Status Not"
358305,1036,"P_019","2025-07-23","2025-07-28","2025-07-30",1,"InTransit","EcomExpress","Status Not"
371233,1043,"P_020","2025-10-08","2025-10-10","2025-10-17",4,"InTransit","BlueDart","Status Not"
381704,1005,"P_001","2026-01-19","2026-01-24","2026-02-02",4,"InTransit","EcomExpress","Status Not"
323086,1019,"P_019","2024-10-12","2024-10-14","2024-10-22",2,"InTransit","BlueDart","Status Not"
332152,1014,"P_008","2024-12-07","2024-12-08","2024-12-09",4,"InTransit","EcomExpress","Status Not"
360368,1013,"P_020","2025-07-14","2025-07-15","2025-07-17",5,"InTransit","BlueDart","Status Not"
327314,1022,"P_016","2024-11-25","2024-11-29","2024-12-07",3,"InTransit","BlueDart","Status Not"
363576,1020,"P_015","2025-08-14","2025-08-15","2025-08-23",1,"InTransit","BlueDart","Status Not"
309233,1043,"P_006","2024-06-19","2024-06-23","2024-07-02",2,"InTransit","BlueDart","Status Not"
350956,1017,"P_013","2025-05-26","2025-05-27","",1,"InTransit","XpressBees","Status Not"
327704,1026,"P_017","2024-11-09","2024-11-11","2024-11-16",1,"InTransit","XpressBees","Status Not"
323644,1013,"P_012","2024-10-12","2024-10-15","",5,"InTransit","DTDC","Status Not"
311516,1019,"P_003","2024-07-25","2024-07-27","2024-08-06",2,"InTransit","DTDC","Status Not"
367588,1032,"P_009","2025-09-25","2025-09-28","2025-10-08",4,"InTransit","DTDC","Status Not"
375434,1045,"P_003","2025-11-23","2025-11-25","",5,"InTransit","DTDC","Status Not"
334078,1042,"P_013","2025-01-10","2025-01-14","2025-01-19",5,"InTransit","DTDC","Status Not"
303798,1036,"P_001","2024-05-20","2024-05-20","2024-05-30",4,"InTransit","Delhivery","Status Not"
331846,1020,"P_006","2024-12-06","2024-12-10","2024-12-15",3,"InTransit","BlueDart","Status Not"
382964,1003,"P_012","2026-01-19","2026-01-24","2026-02-03",2,"InTransit","DTDC","Status Not"
319824,1027,"P_016","2024-09-30","2024-09-30","2024-10-08",3,"InTransit","EcomExpress","Status Not"
335227,1039,"P_002","2025-01-25","2025-01-28","2025-02-05",1,"InTransit","BlueDart","Status Not"
332779,1036,"P_003","2024-12-08","2024-12-12","2024-12-15",5,"InTransit","Delhivery","Status Not"
379845,1034,"P_002","2026-01-01","2026-01-03","2026-01-07",4,"InTransit","Delhivery","Status Not"
370384,1040,"P_020","2025-10-11","2025-10-11","2025-10-13",3,"InTransit","XpressBees","Status Not"
313853,1030,"P_015","2024-07-19","2024-07-19","2024-07-20",4,"InTransit","Delhivery","Status Not"
387896,1048,"P_003","2026-03-10","2026-03-12","2026-03-17",1,"InTransit","Delhivery","Status Not"
310348,1050,"P_007","2024-06-05","2024-06-06","2024-06-12",2,"InTransit","Delhivery","Status Not"
354268,1046,"P_010","2025-06-22","2025-06-26","2025-06-30",4,"InTransit","Delhivery","Status Not"
325810,1049,"P_003","2024-11-28","2024-11-28","2024-12-07",5,"InTransit","EcomExpress","Status Not"
304372,1025,"P_020","2024-05-27","2024-05-29","",1,"InTransit","DTDC","Status Not"
317272,1003,"P_005","2024-08-21","2024-08-22","2024-08-26",2,"InTransit","BlueDart","Status Not"
300695,1040,"P_014","2024-04-17","2024-04-17","2024-04-19",3,"InTransit","EcomExpress","Status Not"
347600,1049,"P_018","2025-04-11","2025-04-15","2025-04-16",5,"InTransit","DTDC","Status Not"
341246,1001,"P_010","2025-02-19","2025-02-24","2025-03-06",1,"InTransit","XpressBees","Status Not"
354183,1049,"P_009","2025-06-09","2025-06-11","2025-06-13",1,"InTransit","DTDC","Status Not"
328797,1010,"P_011","2024-11-05","2024-11-09","2024-11-16",1,"InTransit","EcomExpress","Status Not"
371436,1040,"P_015","2025-10-14","2025-10-19","2025-10-21",5,"InTransit","BlueDart","Status Not"
366173,1023,"P_017","2025-09-04","2025-09-06","2025-09-07",2,"InTransit","DTDC","Status Not"
320060,1002,"P_010","2024-09-25","2024-09-29","2024-10-01",4,"InTransit","DTDC","Status Not"
330201,1042,"P_009","2024-12-10","2024-12-10","2024-12-11",1,"InTransit","DTDC","Status Not"
354049,1005,"P_015","2025-06-12","2025-06-14","2025-06-24",1,"InTransit","Delhivery","Status Not"
330567,1007,"P_007","2024-12-24","2024-12-25","2024-12-28",5,"InTransit","XpressBees","Status Not"
